matched,noise,pct_error,route_name,sample_rate,segment_id
True,10.0,-0.0530522693296,Sealtech Caulking & Wtrprfng_to_Keizer Associates,5.0,282193139337
True,10.0,-0.250946747982,Sealtech Caulking & Wtrprfng_to_Keizer Associates,5.0,320612963977
True,10.0,-0.195413750265,Sealtech Caulking & Wtrprfng_to_Keizer Associates,5.0,481573574281
True,10.0,0.124895288746,Sealtech Caulking & Wtrprfng_to_Keizer Associates,5.0,498149119904
True,10.0,0.00808919215195,Sealtech Caulking & Wtrprfng_to_Keizer Associates,5.0,498182674336
True,10.0,-0.0775560735912,Sealtech Caulking & Wtrprfng_to_Keizer Associates,5.0,518751541152
True,10.0,-0.112426039963,Sealtech Caulking & Wtrprfng_to_Keizer Associates,5.0,521737885600
True,10.0,-0.183698530097,Sealtech Caulking & Wtrprfng_to_Keizer Associates,5.0,799333701536
True,10.0,-0.278752060753,Sealtech Caulking & Wtrprfng_to_Keizer Associates,10.0,282193139337
True,10.0,-0.205660432813,Sealtech Caulking & Wtrprfng_to_Keizer Associates,10.0,320612963977
True,10.0,0.0724515164914,Sealtech Caulking & Wtrprfng_to_Keizer Associates,10.0,481573574281
True,10.0,0.0843234526509,Sealtech Caulking & Wtrprfng_to_Keizer Associates,10.0,498149119904
True,10.0,-0.0230183085725,Sealtech Caulking & Wtrprfng_to_Keizer Associates,10.0,498182674336
True,10.0,-0.0878467073469,Sealtech Caulking & Wtrprfng_to_Keizer Associates,10.0,518751541152
True,10.0,-0.083775465207,Sealtech Caulking & Wtrprfng_to_Keizer Associates,10.0,521737885600
True,10.0,-0.305464852124,Sealtech Caulking & Wtrprfng_to_Keizer Associates,10.0,799333701536
True,10.0,-0.385249768588,Sealtech Caulking & Wtrprfng_to_Keizer Associates,20.0,282193139337
True,10.0,-0.198744921235,Sealtech Caulking & Wtrprfng_to_Keizer Associates,20.0,320612963977
True,10.0,-0.070433043161,Sealtech Caulking & Wtrprfng_to_Keizer Associates,20.0,481573574281
True,10.0,0.0691943127962,Sealtech Caulking & Wtrprfng_to_Keizer Associates,20.0,498149119904
True,10.0,-0.00711090812304,Sealtech Caulking & Wtrprfng_to_Keizer Associates,20.0,498182674336
True,10.0,-0.0766164716365,Sealtech Caulking & Wtrprfng_to_Keizer Associates,20.0,518751541152
True,10.0,-0.102580905307,Sealtech Caulking & Wtrprfng_to_Keizer Associates,20.0,521737885600
True,10.0,-0.379193262289,Sealtech Caulking & Wtrprfng_to_Keizer Associates,20.0,799333701536
True,10.0,-0.510330000831,Sealtech Caulking & Wtrprfng_to_Keizer Associates,30.0,282193139337
True,10.0,-0.170711030514,Sealtech Caulking & Wtrprfng_to_Keizer Associates,30.0,320612963977
True,10.0,-0.126116473391,Sealtech Caulking & Wtrprfng_to_Keizer Associates,30.0,481573574281
True,10.0,0.229240225742,Sealtech Caulking & Wtrprfng_to_Keizer Associates,30.0,498149119904
True,10.0,-0.0940311607043,Sealtech Caulking & Wtrprfng_to_Keizer Associates,30.0,498182674336
True,10.0,-0.105034980407,Sealtech Caulking & Wtrprfng_to_Keizer Associates,30.0,518751541152
True,10.0,-0.0910297256019,Sealtech Caulking & Wtrprfng_to_Keizer Associates,30.0,521737885600
True,10.0,-0.36174455145,Sealtech Caulking & Wtrprfng_to_Keizer Associates,30.0,799333701536
True,15.0,-0.376557021013,Sealtech Caulking & Wtrprfng_to_Keizer Associates,1.0,282193139337
True,15.0,-0.236023915167,Sealtech Caulking & Wtrprfng_to_Keizer Associates,1.0,320612963977
True,15.0,0.089243788257,Sealtech Caulking & Wtrprfng_to_Keizer Associates,1.0,41177176626
True,15.0,-0.199742902302,Sealtech Caulking & Wtrprfng_to_Keizer Associates,1.0,481573574281
True,15.0,0.0414358493423,Sealtech Caulking & Wtrprfng_to_Keizer Associates,1.0,498149119904
True,15.0,-0.0311576496337,Sealtech Caulking & Wtrprfng_to_Keizer Associates,1.0,498182674336
True,15.0,-0.094894947564,Sealtech Caulking & Wtrprfng_to_Keizer Associates,1.0,518751541152
True,15.0,-0.0653993051467,Sealtech Caulking & Wtrprfng_to_Keizer Associates,1.0,521737885600
True,15.0,-0.0218775719316,Sealtech Caulking & Wtrprfng_to_Keizer Associates,1.0,799333701536
True,15.0,0.0956731713143,Sealtech Caulking & Wtrprfng_to_Keizer Associates,5.0,282193139337
True,15.0,-0.221459383102,Sealtech Caulking & Wtrprfng_to_Keizer Associates,5.0,320612963977
True,15.0,-0.0225984276465,Sealtech Caulking & Wtrprfng_to_Keizer Associates,5.0,41177176626
True,15.0,-0.092565601531,Sealtech Caulking & Wtrprfng_to_Keizer Associates,5.0,481573574281
True,15.0,0.0284463866351,Sealtech Caulking & Wtrprfng_to_Keizer Associates,5.0,498149119904
True,15.0,-0.0128915282112,Sealtech Caulking & Wtrprfng_to_Keizer Associates,5.0,498182674336
True,15.0,-0.101370576969,Sealtech Caulking & Wtrprfng_to_Keizer Associates,5.0,518751541152
True,15.0,-0.0506767609498,Sealtech Caulking & Wtrprfng_to_Keizer Associates,5.0,521737885600
True,15.0,-0.254674464686,Sealtech Caulking & Wtrprfng_to_Keizer Associates,5.0,799333701536
True,15.0,-0.249661535325,Sealtech Caulking & Wtrprfng_to_Keizer Associates,10.0,282193139337
True,15.0,-0.203379780758,Sealtech Caulking & Wtrprfng_to_Keizer Associates,10.0,320612963977
True,15.0,0.165734843815,Sealtech Caulking & Wtrprfng_to_Keizer Associates,10.0,481573574281
True,15.0,0.18204300067,Sealtech Caulking & Wtrprfng_to_Keizer Associates,10.0,498149119904
True,15.0,-0.00949616374512,Sealtech Caulking & Wtrprfng_to_Keizer Associates,10.0,498182674336
True,15.0,-0.0640570971668,Sealtech Caulking & Wtrprfng_to_Keizer Associates,10.0,518751541152
True,15.0,-0.110389606717,Sealtech Caulking & Wtrprfng_to_Keizer Associates,10.0,521737885600
True,15.0,-0.347699281346,Sealtech Caulking & Wtrprfng_to_Keizer Associates,10.0,799333701536
True,15.0,-0.374434065949,Sealtech Caulking & Wtrprfng_to_Keizer Associates,20.0,282193139337
True,15.0,-0.202470590821,Sealtech Caulking & Wtrprfng_to_Keizer Associates,20.0,320612963977
True,15.0,-0.0780224783984,Sealtech Caulking & Wtrprfng_to_Keizer Associates,20.0,481573574281
True,15.0,0.0657596356517,Sealtech Caulking & Wtrprfng_to_Keizer Associates,20.0,498149119904
True,15.0,-0.00873846666073,Sealtech Caulking & Wtrprfng_to_Keizer Associates,20.0,498182674336
True,15.0,-0.105111799169,Sealtech Caulking & Wtrprfng_to_Keizer Associates,20.0,518751541152
True,15.0,-0.0881256661419,Sealtech Caulking & Wtrprfng_to_Keizer Associates,20.0,521737885600
True,15.0,-0.386354903353,Sealtech Caulking & Wtrprfng_to_Keizer Associates,20.0,799333701536
True,15.0,-0.492461279307,Sealtech Caulking & Wtrprfng_to_Keizer Associates,30.0,282193139337
True,15.0,-0.184722447371,Sealtech Caulking & Wtrprfng_to_Keizer Associates,30.0,320612963977
True,15.0,-0.0963309050565,Sealtech Caulking & Wtrprfng_to_Keizer Associates,30.0,481573574281
True,15.0,0.206417112299,Sealtech Caulking & Wtrprfng_to_Keizer Associates,30.0,498149119904
True,15.0,-0.0953638667802,Sealtech Caulking & Wtrprfng_to_Keizer Associates,30.0,498182674336
True,15.0,-0.00162804361425,Sealtech Caulking & Wtrprfng_to_Keizer Associates,30.0,518751541152
True,15.0,-0.154912198291,Sealtech Caulking & Wtrprfng_to_Keizer Associates,30.0,521737885600
True,15.0,-0.372572930097,Sealtech Caulking & Wtrprfng_to_Keizer Associates,30.0,799333701536
True,20.0,-0.414865447468,Sealtech Caulking & Wtrprfng_to_Keizer Associates,1.0,282193139337
True,20.0,-0.268261201954,Sealtech Caulking & Wtrprfng_to_Keizer Associates,1.0,320612963977
True,20.0,-0.193924767013,Sealtech Caulking & Wtrprfng_to_Keizer Associates,1.0,481573574281
True,20.0,0.0523958798323,Sealtech Caulking & Wtrprfng_to_Keizer Associates,1.0,498149119904
True,20.0,0.0477676548954,Sealtech Caulking & Wtrprfng_to_Keizer Associates,1.0,498182674336
True,20.0,-0.0889626813458,Sealtech Caulking & Wtrprfng_to_Keizer Associates,1.0,518751541152
True,20.0,-0.0532571678278,Sealtech Caulking & Wtrprfng_to_Keizer Associates,1.0,521737885600
True,20.0,-0.154367147003,Sealtech Caulking & Wtrprfng_to_Keizer Associates,1.0,799333701536
True,20.0,0.0545297225733,Sealtech Caulking & Wtrprfng_to_Keizer Associates,5.0,282193139337
True,20.0,-0.261241502827,Sealtech Caulking & Wtrprfng_to_Keizer Associates,5.0,320612963977
True,20.0,-0.073258471979,Sealtech Caulking & Wtrprfng_to_Keizer Associates,5.0,481573574281
True,20.0,0.185023325687,Sealtech Caulking & Wtrprfng_to_Keizer Associates,5.0,498149119904
True,20.0,0.0272400545152,Sealtech Caulking & Wtrprfng_to_Keizer Associates,5.0,498182674336
True,20.0,-0.0819830979578,Sealtech Caulking & Wtrprfng_to_Keizer Associates,5.0,518751541152
True,20.0,-0.131775737132,Sealtech Caulking & Wtrprfng_to_Keizer Associates,5.0,521737885600
True,20.0,-0.223370786517,Sealtech Caulking & Wtrprfng_to_Keizer Associates,5.0,799333701536
True,20.0,-0.431024813162,Sealtech Caulking & Wtrprfng_to_Keizer Associates,10.0,282193139337
True,20.0,-0.256993920833,Sealtech Caulking & Wtrprfng_to_Keizer Associates,10.0,320612963977
True,20.0,-0.143545044707,Sealtech Caulking & Wtrprfng_to_Keizer Associates,10.0,481573574281
True,20.0,0.0854503456234,Sealtech Caulking & Wtrprfng_to_Keizer Associates,10.0,498149119904
True,20.0,0.0236463855481,Sealtech Caulking & Wtrprfng_to_Keizer Associates,10.0,498182674336
True,20.0,-0.104958148456,Sealtech Caulking & Wtrprfng_to_Keizer Associates,10.0,518751541152
True,20.0,-0.0633972920883,Sealtech Caulking & Wtrprfng_to_Keizer Associates,10.0,521737885600
True,20.0,-0.267330957043,Sealtech Caulking & Wtrprfng_to_Keizer Associates,10.0,799333701536
True,20.0,-0.329533336273,Sealtech Caulking & Wtrprfng_to_Keizer Associates,20.0,282193139337
True,20.0,-0.184863330195,Sealtech Caulking & Wtrprfng_to_Keizer Associates,20.0,320612963977
True,20.0,-0.0150283962683,Sealtech Caulking & Wtrprfng_to_Keizer Associates,20.0,481573574281
True,20.0,0.178289386898,Sealtech Caulking & Wtrprfng_to_Keizer Associates,20.0,498149119904
True,20.0,0.0186744352947,Sealtech Caulking & Wtrprfng_to_Keizer Associates,20.0,498182674336
True,20.0,-0.0929261313566,Sealtech Caulking & Wtrprfng_to_Keizer Associates,20.0,518751541152
True,20.0,-0.0724860040729,Sealtech Caulking & Wtrprfng_to_Keizer Associates,20.0,521737885600
True,20.0,-0.403418953777,Sealtech Caulking & Wtrprfng_to_Keizer Associates,20.0,799333701536
True,20.0,-0.486191721188,Sealtech Caulking & Wtrprfng_to_Keizer Associates,30.0,282193139337
True,20.0,-0.120904241498,Sealtech Caulking & Wtrprfng_to_Keizer Associates,30.0,320612963977
True,20.0,0.0158843691928,Sealtech Caulking & Wtrprfng_to_Keizer Associates,30.0,41177176626
True,20.0,-0.0918899411606,Sealtech Caulking & Wtrprfng_to_Keizer Associates,30.0,481573574281
True,20.0,0.267358774521,Sealtech Caulking & Wtrprfng_to_Keizer Associates,30.0,498149119904
True,20.0,-0.13191985262,Sealtech Caulking & Wtrprfng_to_Keizer Associates,30.0,498182674336
True,20.0,-0.0862877428997,Sealtech Caulking & Wtrprfng_to_Keizer Associates,30.0,518751541152
True,20.0,-0.121419413945,Sealtech Caulking & Wtrprfng_to_Keizer Associates,30.0,521737885600
True,20.0,-0.323375819264,Sealtech Caulking & Wtrprfng_to_Keizer Associates,30.0,799333701536
False,25.0,0.224138050897,Sealtech Caulking & Wtrprfng_to_Keizer Associates,1.0,315546244745
True,25.0,-0.220397780918,Sealtech Caulking & Wtrprfng_to_Keizer Associates,1.0,320612963977
False,25.0,-0.158763847432,Sealtech Caulking & Wtrprfng_to_Keizer Associates,1.0,481338693257
True,25.0,-0.179830634754,Sealtech Caulking & Wtrprfng_to_Keizer Associates,1.0,481573574281
False,25.0,0.429365469254,Sealtech Caulking & Wtrprfng_to_Keizer Associates,1.0,485432333961
